9AC	100 NEW GOWER ST.		SAINT JOHN'S	NL	A1C 6K3
71F	Rue Moise-Marcinhes 7		Meyrin		1217
71E	Route du Bois 37		Ecublens		1024
71D	Otto-Volger-Str. 15		Sulzbach		65843
71C	Prinzenallee 5		Dusseldorf		40549
71B	Edificio 11 Av Dr Mario Soares	Tagus Park, Piso -2	Porto Salvo		2784-511
71A	Hanns-Klemm-Str. 24, Geodis	Haus Ruckaberle	Boeblingen		71034
70Z	Gerbestrasse 11		Appenzell		9050
70Y	Im Hirschen-Markt		Lyss		3250
70X	2101 Gaither Rd		Rockville	MD	20850
70W	10400 W North Ave		Melrose Park	IL	60160
70V	Via Sparano 56		Bari		70100
70U	Rebstroecker Strasse 59		Frankfurt		60326
70T	MKL GmbH & Co. KG Bau M286	Mitteldeutsche Kunststoff - Logistik	Schkopau		06258
70S	Reideburger Str.	Finsterwalder Transport & Logistik	Halle		06108
70R	Schmidt Spedition GmbH & Co. KG NL		Grosslehna		04420
70Q	Internationale Fachspedition	Hoyer GmbH, Value Parc Z 71	Schkopau		06258
70P	RP Compounds GmbH	Value Parc	Schkopau		06258
70O	Gottlieb-Daimler-Str 7		Stade		21684
70N	Rodenkirchener Strasse 400	Werk Wesseling	Wesseling		50389
70M	Joachim-Becher-Strasse 1	Werk Speyer	Speyer		67346
70L	Schlengendeich 17	Werk Hamburg	Hamburg		21107
70K	Parkstr. 11/13		Bad Lauchstädt		06246
70J	Sole-Speicherfeld Lauchstaedter Str		Teutschenthal		06179
70I	Bützflethersand 1		Stade		21683
70H	Am Kronberger Hang 4	Dow Deutschland	Schwalbach		65824
70G	An der B91	Dow Olefinvervund GmbH	Schkopau		06258
70F	Oewerwischenweg 1	Grosstanklager Oelhafen Rostock	Rostock		18146
70E	Hauptstr 999		Ohrensen		21698
70D	Truderingerstrasse 15		Munich		81677
70C	Am Haupttor		Leuna		06236
70B	Zeppelinstrasse 30	Angus Chemie GmbH	Ibbenbueren		49479
70A	Georg-Glock Str 3		Duesseldorf		40474
JFC	1005 IKON DR	SUITE G	JEFFERSON CITY	MO	65109-6883
JER	10 COMMERCIAL BUILDINGS	ST HELLIER	JERSEY		JE2 3NB
JEG	URANUS ST. 98 BLU8 SECTOR 5		BUCHAREST		78334
JCO	2 JERICHO PLAZA		JERICHO	NY	11753-1658
6AK	155 WOODWARD AVENUE		SAINT JOHN	NB	E2K1Z9
6AH	400 MAIN ST		SAINT JOHN	NB	E2K 4N5
6AB	535 EDINBURGH DR		MONCTON	NB	E1E 4E3
6AA	1133 REGENT ST		FREDERICTON	NB	E3B 3Z2
J98	39 Old Ridgebury Rd		Danbury	CT	06810-5103
J97	800 South St	Suite 600	Waltham	MA	02453-1477
J96	35 Gatehouse Dr		Waltham	MA	02451-1215
J95	100 Discovery Way		Acton	MA	01720-4481
J94	125 High St	9th Floor	Boston	MA	02110-2704
J92	27000 W 11 Mile Rd	IBM c/o Blue Cross Blue Shield of Michigan	Southfield	MI	48034-2200
J91	1100 Virginia Dr		Fort Washington	PA	19034-3204
J90	2198 Hornig Rd		Philadelphia	PA	19116-4297
J89	United Nations	Room S-645 F	New York	NY	10001
J88	333 Constitution Ave NW	Room 4826, US Court of Appeals, DC Circuit	Washington	DC	20001-2802
J87	7550 W Interstate Hwy 10	Suite 1100, Systems Deployment and Support Division	San Antonio	TX	78229-5814
J86	14351 Highway 221		Enoree	SC	29335-2017
J85	240 E Central Pkwy		Altamonte Springs	FL	32701-3410
J83	1 Gustave L Levy Pl	Box 1000	New York	NY	10029-6500
J82	10 Sylvan Way		Parsippany	NJ	07054-3825
J81	10 Earnhart Dr	Financial Service Center	Williamsville	NY	14221
J80	3399 North Rd		Poughkeepsie	NY	12601-1387
IVE	3403 TENTH ST		RIVERSIDE	CA	92501-3670
J79	4700 Silver Hill Rd	IBM c/o US Census Bureau	Suitland	MD	20746
J78	333 W Everett St	IBM c/o John Hancock Long Term Care Insurance	Milwaukee	WI	53203
J76	1425 Madison Ave		New York	NY	10029-6514
J75	170 William St		New York	NY	10038-2612
J74	545 1st Ave	Information Technology, Greenberg Hall, SC1	New York	NY	10016-6402
J73	17875 Von Karman Ave		Irvine	CA	92614-6200
J72	11 Corporate Woods Blvd		Albany	NY	12211-2345
J71	2500 Lake Cook Rd		Riverwoods	IL	60015-3851
ITX	2901 Kinwest Pkwy	NISSAN CORPORATION, MAC	Irving	TX	75063-3134
J69	715 Alta Vista St		Santa Fe	NM	87505-4108
J66	1225 Crescent Green Dr	Suite 200	Cary	NC	27511-8119
J65	4349 Corporate Rd		Charleston	SC	29405-7445
ITT	VIA ANTOLISEI  10/12		ROMA		133
J64	700 State Route 46 E		Batesville	IN	47006-8928
J63	2175 Parklake Dr NE		Atlanta	GA	30345-2809
J62	9201 San Mateo Blvd NE	Mail Stop B3	Albuquerque	NM	87121-1909
J61	8400 Doral Blvd		Miami	FL	33166-6676
J60	4700 S Syracuse St, Cendant		Denver	CO	80237-2710
ITB	VIA M.E. LEPIDO 197		BOLOGNA		40132
ITA	VIA TRIDENTE 42/44		BARI		70125
J59	2501 Technology Cir	Suite 1	Bentonville	AR	72712-7181
J58	Grand Arcade, L2 60 Willis St,		Wellington		6001
J57	90 Collins St	Levels 1 & 2	Melbourne	VIC	3000
J56	101 E 5th St	Suite 1600	Saint Paul	MN	55101
J55	75 Arlington St		Boston	MA	02116-3936
J54	200 Berkeley St	IBM c/o John Hancock	Boston	MA	02116-5022
J53	3865 Airways Blvd	2nd floor Building F	Memphis	TN	38116-5099
J52	100 Miller Street	Lvl 13 & 14	North Sydney	NSW	2060
J51	5975 NW Pinefarm Pl		Hillsboro	OR	97124-8563
J50	1421 California Circle		Milpitas	CA	95035
J49	555 Walnut St	7th Floor, Forum Place	Harrisburg	PA	17101-1925
J48	Level 5, Mayfair House, 44-52 The T		Wellington		6001
J47	320 Interstate North Pkwy SE	Suite 500	Atlanta	GA	30339
J46	1001 13th Ave E		Bradenton	FL	34208-2699
J44	4275 Bridge View Dr		North Charleston	SC	29405-7444
J43	6269 E Shelby Dr		Memphis	TN	38141-7736
J42	1002 Balch Blvd	Building 1000, Room 106	Stennis Space Center	MS	39529
J41	755 Crossover Ln		Memphis	TN	38117-4906
J40	2597 Avery Ave		Memphis	TN	38112-4892
69Z	Theodor Schwarte Str 2	Dow Deutschland GmbH & Co. OHG	Ahlen		59227
69Y	Via Savoia 23		Roma		00100
69X	3700 W Juneau Ave		Milwaukee	WI	53208-2865
69W	9254 Ave Los Romeros,Suite 801	Montehiedra Office Centre	San Juan	PR	00926
69V	6250 Center Hill Ave	Winton Hill Tech Ctr West Bldg	Cincinnati	OH	45224-1796
69U	30070 Van Dyke Ave		Warren	MI	48093-2307
69T	Lingner Allee 3		Dresden		01069
J39	300 Cahaba Park Cir	Suite 100	Birmingham	AL	35242-5044
69S	Binnen Parallelweg 60		Helmond		5701 PH
J38	400 West Ave		Rochester	NY	14611-2538
69R	Grotestraat 341		Waalwijk		5142 CA
J37	1306 Amoco Dr		Charleston	SC	29492-7918
69Q	Johan Muyskensweg 4		Amsterdam		1000 AE
J36	2690 Loop Rd W	Wright-Patterson AFB, AMC III, Bldg 556	Dayton	OH	45433-7148
69P	Grote Voort 247		Zwolle		8041 BL
J35	4375 Chidlaw Rd	Wright-Patterson AFB	Dayton	OH	45433-5066
69O	72-74 Jedda Rd	Ground Level, DHL Building	Prestons	NSW	2170
J34	3500 Piedmont Rd NE	IBM c/o Jones Lang LaSalle	Atlanta	GA	30305-1507
69N	1623-14 Shimotsuruma		Yamato		242-8502
J33	770 Canning Pkwy	IBM c/o Kodak Polychrome Graphics	Victor	NY	14564-8983
J32	1112 Airport Pkwy	IBM c/o Merial LTD	Gainesville	GA	30501-6816
J31	5555 Glenridge Connector NE	IBM c/o AFC	Atlanta	GA	30342-4759
69K	11-2 Shintoshin, Chuou-ku	Meiji-Yasuda Seimei Saitama Shintoshin Bldg, 30th Flr Land Axis Tower	Saitama		330-6026
J30	115 Trans Tech Dr	IBM c/o Merial LTD	Athens	GA	30601-1649
69J	1-7-1 Kumoji	Ryukyu Lease Sogo Bldg, 12th Floor	Naha		900-0015
69I	3-3-12 Ichibancho, Aoba-ku	SECOM Sonpo Sendai Bldg, 5th Floor	Sendai		980-0811
69H	3-6-12 Hakata-Ekimae, Hakata-ku	Onuki Hakata Ekimae Bldg, 6th Floor	Fukuoka		812-0011
69G	1-17-19 Marunouchi, Naka-ku, 2FL	Kirics Nagoya Marunouchi Bldg	Nagoya		460-0002
69F	528 S Pudong Rd		Shanghai		200120
69E	Kungsbron 1		Stockholm		107 24
69D	26 Route d' Arlon		Luxembourg		1140
69C	777 Central Blvd		Carlstadt	NJ	07072-3010
69B	Green Ln	Heathrow Corporate Park	Hounslow		TW4 6ER
69A	30 Cannon Street		London		EC4V 4NL
68Z	Widenmayerstrasse15		Muenchen		80538
68Y	Goethestrasse 18		Frankfurt		60313
68X	Rahmhofstrasse 2-4		Frankfurt		60313
68W	Breiter Weg 7		Magdeburg		39104
68V	Neustadt 34		Hahausen		38729
68U	Thueringer Strasse 10		Seesen		38723
68T	Auf den Steinen 4		Seesen		38723
J29	605 Asbury Cir	IBM c/o Emory University	Atlanta	GA	30322-1006
68S	Kampstrasse 43		Seesen		38723
J28	655 Ethicon Cir	IBM c/o Ethicon	Cornelia	GA	30531-2112
68R	Hindenburgstrasse 7		Braunlage		38700
693	800  ICHIMIYAKE YASU-CHO		YASU		520-2392
J27	2455 Paces Ferry Rd SE	IBM c/o Home Depot	Atlanta	GA	30339-4024
68Q	Heinrich-Jasper-Platz 1		Braunlage		38700
J26	4000 Legato Rd	Suite 1100	Fairfax	VA	22033-4055
68P	An der alten Kapelle 2		Langelsheim		38685
J25	8484 Westpark Dr	Suite 710	Mc Lean	VA	22102-5117
68O	Goslarsche Strasse 22b		Langelsheim		38685
J24	1295 SW 29th Ave		Pompano Beach	FL	33069-4359
68N	Bahnhofstrasse 5		Langelsheim		38685
J23	ZI, de la Croix de Metz	BP 7 CEDEX	Toul		54202
68M	Meinigstrasse 46A		Bad Harzburg		38667
J22	495 Maltbie St	IBM c/o Gwinnett County PS	Lawrenceville	GA	30045-4551
68L	Breite Strasse 18		Bad Harzburg		38671
J21	330 7th Ave, 5th Floor		New York	NY	10001-5010
68K	Herzog-Wilhelm-Strasse 71		Bad Harzburg		38667
J20	2400 Reynolda Rd		Winston Salem	NC	27106-4600
68J	Markt 11-12		Schoeningen		38648
68I	Talstrasse 11a		Goslar		38642
68H	Conringstrasse 5		Gross Twuelpstedt		38464
68G	Grafhoster Strasse 3a		Velpke		38458
68F	Meinstrasse 79		Wolfsburg		38448
68E	Lange Strasse 19		Wolfsburg		38448
68D	Gerta-Overbeck-Ring 9		Wolfsburg		38446
68C	Scheverberg 1		Jerxheim		38381
68B	Gartenweg 5		Warberg		38378
68A	Breitestrasse 44a		Suepplingen		38373
67Z	Wulfersdorferstrasse10		Bueddenstedt		38372
67Y	Vorsfelderstrasse 52		Helmstedt		38350
67X	Groepern 9		Helmstedt		38350
67W	Schlesierweg 10		Kissenbrueck		38324
67V	Moenchevahlbergstrasse 5		Denkte		38321
67U	Hauptstrasse 63		Boerssum		38312
67T	Jahnstrasse 36		Wolfenbuettel		38302
J19	1250 W Sam Houston Pkwy S		Houston	TX	77042-1916
67S	Bahnhofstrasse 9a		Wolfenbuettel		38300
J18	6000 Windward Pkwy		Alpharetta	GA	30005-8882
67R	Bahnhofstrasse 6a		Wolfenbuettel		38300
67Q	Lindener Strasse 57		Wolfenbuettel		38300
J16	7500 College Blvd	Suite 300	Overland Park	KS	66210-4035
67P	Goslarsche Strasse 14		Wolfenbuettel		38300
J15	Storgatan 19		STOCKHOLM		11482
67O	Gerichtsstrasse 1b		Lutter am Barenberge		38279
J14	Storgatan 5, Box 5510		STOCKHOLM		11485
67N	Bahnhofstrasse 2a		Grasleben		38268
J13	Skalholtsgatan 10, Box 1128		KISTA		16422
67M	Wolfenbuettlerstrasse 5		Salzgitter/Thiede		38239
J12	Teknikringen 7		LINKÖPING		58330
67L	Schaeferwiese 4a		Salzgitter/Thiede		38239
J11	Magnus Ladulåsgatan		STOCKHOLM		10682
67K	Gaertnerstrasse 4		Salzgitter/Salder		38229
67J	Maangarten 32		Salzgitter/Hallendorf		38229
67I	Weddemweg 5		Salzgitter		38229
67H	Gauss-strasse 16		Salzgitter-Lebenstedt		38226
67G	Burgbergstrasse 48 D		Salzgitter		38228
67F	Fischzug 1		Salzgitter		38226
67E	Wildkamp 28		Salzgitter		38226
67D	Berlinerstrasse 148		Salzgitter		38226
67C	Bahnhofstrasse 19a		Sickte-Obersickte		38173
67B	Hauptstrasse 4		Winnigstedt		38170
67A	Markt 4/5		Schoeppenstedt		38170
66Z	Schulstrasse 7		Lehrte		38165
66Y	Boimstorferstrasse 2a		Lehrte		38165
66X	Hauptstrasse 42		Cremlingen		38162
66W	Am Dorfplatz		Cremlingen		38162
66V	Hildesheimer Strasse 83		Vechelde		38159
66U	Westernstrasse 19		Koenigslutter		38154
5V6	1-1-4 MEIEKI NAKAMURA-KU		NAGOYA		450-6020
66T	Welfenplatz 5		Braunschweig		38126
J09	Fredholmsgatan 2, Box 895		VÄSTERÅS		72180
66S	Weimarstrasse 10-12		Braunschweig		38124
5V4	2-8 HASHIMOTOCHO		GIFU		500
66R	Waisenhausdamm 7		Braunschweig		38100
J07	Storgatan 34, Box 144		KLIPPAN		26422
J06	Storgade 60		Hasle		3790
66Q	Tostmannplatz 18		Braunschweig		38108
66P	Thiedestrasse 24		Braunschweig		38122
5V1	1-1 SHIBAHONCHO		MISHIMA		411
INT	550 Metroplex Dr	FIRST AMERICAN NATIONAL BANK	Nashville	TN	37211-3133
J05	Valhallavägen 2		LUDVIKA		77180
66O	Stoeckheimer Markt 1		Braunschweig		38124
J04	Birkagatan 41, Box 1006		HUSKVARNA		56124
66N	Salzdahlumer Strasse 90		Braunschweig		38126
66M	Sack 19		Braunschweig		38100
J02	Lunnagårdsgatan 4		MÖLNDAL		43187
INQ	PARVAAZ (OFF SHANKER SETH ROAD)	BASEMENT, 1 & 2 FLOORS, NEW MODIKHANA	PUNE		411001
66L	Saarplatz 5		Braunschweig		38116
J01	Norra Malmvägen 143	Häggvik Business Center	Sollentuna		19185
J00	Vigsnaesvej 66		Guldborg		4862
66K	Im Remenfeld 5		Braunschweig		38104
66J	Querumer Strasse 72		Braunschweig		38104
66I	Pfälzerstrasse 35		Braunschweig		38112
INM	9229 DELEGATE'S ROW	THE PRECEDENT OFFICE PARK  BLDG 81	INDIANAPOLIS	IN	46240-3810
66H	Nibelungenplatz 16		Braunschweig		38106
66G	Neustadtring		Braunschweig		38106
INK	AG ROADNO 7 BANJARA HILLS	ST FLR, UMA AISHWARYA HOUSE	HYDERABAD		500034
66F	Mühlenpfordtstrasse 4/5		Braunschweig		38106
66E	Ligusterweg 24B		Braunschweig		38112
66D	Lange Strasse 60		Braunschweig		38100
66C	Kastanienallee 28/29		Braunschweig		38102
66B	Hinter den Hainen 9		Braunschweig		38126
66A	Hans-Porner-Strasse 7		Braunschweig		38126
INB	AIRPORT ROAD - GOLDEN TOWERS	GROUND & 1ST FLRS	BANGALORE		560017
65Z	Grosse Grubenstrasse. 30b		Braunschweig		38122
65Y	Gliesmaroder Strasse 1		Braunschweig		38106
65X	Gemeindestrasse 1a		Braunschweig		38126
65V	Feuerbrunnen 1		Braunschweig		38100
65U	Elbestrasse 21		Braunschweig		38120
65T	Donaustrasse 46		Braunschweig		38120
5U5	1-179 MIYUKIHONCHO		TOYODA		473
65S	David-Mansfeld-Weg 26		Braunschweig		38116
65R	Dankwardstrasse 1		Braunschweig		38100
65Q	Celler Heerstrasse 356		Braunschweig		38112
5U2	4-1-16 KAGANO		OHGAKI		503-0006
65O	Bruchtorwall 5		Braunschweig		38100
5U0	2-5-2 FUKASHI		MATSUMOTO		390
65N	Brandenburgstrasse 1		Braunschweig		38110
65M	Bevenroder Strasse 134		Braunschweig		38108
65L	Altstadtring 52		Braunschweig		38118
65K	Ackerweg 4a		Braunschweig		38108
65J	Ackerstrasse 22		Braunschweig		38126
65I	Neue Strasse 12 (2)		Fuerstenberg		37699
IMM	17005 Axp Financial Ctr	IBMGS AT AMERICAN EXPRESS	Minneapolis	MN	55474-0170
65H	Hasenstrasse 1		Lauenfoerde		37697
IML	4100 BOHANNON DR		MENLO PARK	CA	94025-1013
65G	Muehlengrube 1		Boffzen		37691
65F	Holenberger Strasse 14		Golmbach		37640
IMJ	101 Columbia Rd	BLDG AB/FL G-HONEYWELL INTNL	Morristown	NJ	07960-4658
65E	Angerstrasse 12		Bevern		37639
65D	Steinweg 10		Eschershausen		37632
65C	Neue Strasse 6		Stadtoldendorf		37627
65B	Boentalstrasse 9		Holzminden		37608
65A	Am Wildenkiel 2		Holzminden		37603
64Z	Liebigstrasse 22		Holzminden		37603
64Y	Markt 6-8		Bad Gandersheim		37581
64X	Wilhelmstrasse 13		Kreiensen		37547
659	1-6-27 NANKOKITA SUMINOE-KU		OSAKA		559-0034
64W	Steinweg 22		Kreiensen		37547
64V	Taubentalstrasse 26		Zorge		37449
64U	Otto-Haberland-Strasse 28		Wieda		37447
64T	Harzstrasse 7		Walkenried		37445
ILX	20 MAGUIRE RD		LEXINGTON	MA	02421-3112
64S	Obere Hilsstrasse 3		Grünenplan		31073
654	KARASUMARU SHIOKOHJI-DOHRI	NISHIIRI HIGASHI SHIOKOHJICHOU 614	KYOTO		600-8212
64R	Dr. Heinr.-Jasper-Strasse 56		Delligsen		31073
64Q	Lange Weihe 2		Laatzen		30880
652	7-1-1 ONOEDOURI CHUOH-KU		KOBE		651
64P	Expo Plaza 9		Hannover		30539
651	338 ENPUKUJICHO NAKAGYOU-KU		KYOTO		604
64O	Kattenbrookstift 33		Hannover		30539
650	1-11-7 UTSUBOHONCHO NISHI-KU		OSAKA		550
ILS	1750 E Golf Rd		Schaumburg	IL	60173-5835
64N	Messe GA		Hannover		30521
64M	Hans-Böckler-Allee		Hannover		30173
64L	Elkartallee 25		Hannover		30173
64K	Calenberger Esplanade		Hannover		30169
ILN	16011 COLLEGE BLVD		LENEXA	KS	66219-1366
64H	Georgsplatz 1		Hannover		30159
64F	Schiffgraben 30		Hannover		30159
64E	Osterstrasse 44/46		Hannover		30159
64D	Kaiserallee 9		Hannover		30175
64C	Hildesheimerstrasse 45-47		Hannover		30169
64B	Breitestrasse 10		Hannover		30159
64A	Arnswaldtstrasse 10		Hannover		30159
63Z	Arnswaldtstrasse 6		Hannover		30159
63Y	Arnswaldtstrasse 4		Hannover		30159
63X	Domshof 26		Bremen		28195
63W	Werkstrasse 213		Schwerin		19061
648	1-10-10 UTSUBOHONCHO NISHI-KU		OSAKA		550-0004
63V	Graf-Schack-Allee 10/10a		Schwerin		19053
63U	Rosa-Luxenburg-Strasse 4		Rostock		18055
646	1-7 KIMURA KAKOGAWACHO		KAKOGAWA		675
63T	Pappelallee 1		Greifswald		17489
63S	Friedrich-Engels-Ring 48a		Neubrandenburg		17033
63R	Friedrichstrasse 95		Berlin		10117
63Q	228 E 45th St	Finnair	New York	NY	10017-3303
63P	JFK International Airport, JAL Bldg	Finnair Office, PO Box 30087	Jamaica	NY	11430
63O	JFK International Airport, Finnair	Finnair Traffic Office, Terminal 8, AA Terminal	Jamaica	NY	11430
IKS	11200 LAKEVIEW AVE		LENEXA	KS	66219-1398
63N	849 Silom Rd, 6th Floor	Vorwat Building, Finnair Town Office	Bangkok		10500
63M	Bangkok International Airport	Finnair Airport Office, Terminal 2, Room 2722	Bangkok		10210
63L	134 Chung Hsiao E Rd, 8th Floor	Golden Foundation Towers, Section 4	Taipei		106
63K	Schweizergasse 6		Zurich		8001
63J	Geijersvägen 4	Northbok Call Center, Uddeholm	Stockholm		13054
63I	Kanalvagen 6-10A, 6th floor	Upplands Vasby	Stockhom		10461
63H	Kungsgatan 2		Stockholm		11156
63G	Lindingovägen 24	Finnair, MSL Reservation	Stockholm		10786
63F	Landvetter Airport	International Terminal Room 20250, Box 2052	Gøteborg		43812
63E	Söderbyvägen 3 c	Finnair Cargo office	Märsta		19523
63D	Box 9, Term 2, Floor 4, Room 14422	Finnair, Stockholm Arlanda	Arlanda		19045
63C	Östra Fraktvägen, Gula Paviljongen	Jetpak, Stockholm Arlanda	Arlanda		19046
63B	Avenida General Peron 25, 1-B	Finnair	Madrid		28020
63A	Fontanella 12, Bis 3 A	Finnair town office	Barcelona		08010
62Z	541 Orchard Rd	Finnair, 18-01 Liat Towers	Singapore		238881
62Y	45 Airport Rd	Finnair Cargo Office, Unit 221 d, CIAS Cargo Center	Singapore		819478
62X	Singapore Changi Airport	Finnair Traffic Office, Passenger Terminal Building 2	Singapore		819643
62W	Malaya Konyushannaya Str, 1-3 A		Saint Petersburg		191186
62V	Kroporkinsky Per. 7		Moscow		119034
62U	Sheremetyevo Airport, Terminal 2	Moscow Region, Himki District	Moscow		141400
62T	Pulkovskoye Shosse 37/4	Finnair Cargo LED	Saint Petersburg		196210
62S	Pulkovo Airport, Terminal 2		Saint Petersburg		196210
62R	Jernbanetorget 4	Oslo Gardermoen Airport	Oslo		0154
62Q	Schipol World Trade Center		Amsterdam		1108
62P	Rudninku 18/2		Vilnius		2001
62O	Riga International Airport	Finnair Traffic Office	Riga		1053
62N	2-14-2 Kojimachi	NK Building, Chiyoda-ku	Tokyo		102
62M	Sakurabashi Astoria, Bldg 2-1-22	Finnair, Umeda, Kita-ku	Osaka		530
62L	Narita International Airport	Finnair Airport Office, Passanger Terminal 1, Room NA412, Chiba	Narita		282
62K	Via Larga 4		Milano		20122
62J	Bajcsy Zslininszky ut 12		Budapest		1051
62I	183 Queen's Rd, Central	Finnair, Cosco Tower, Unit 2312, 23rd Floor	Hong Kong		
62H	Hong Kong International Airport	Finnair/HIAS office	Hong Kong		
62G	27 Albermarle St, 5th Floor		London		W1S 4JB
62F	Manchester International Airport	Finnair Traffic Office,  Rooms 23/24, level 7, Terminal 1B	Manchester		M90 1QX
62E	Flighthouse, Fernhill Rd		Horley		RH6 9SY
62D	Sandringham Rd, Bldg 580	Finnair Cargo Office, Cargo Terminal, Heathrow, Houslow	London		TW6 3SA
62C	London Heathrow Airport	Room 252, Office Block, Terminal 1	London		TW6 1JH
62B	Herman Kohlstrasse 3		Bremen		28199
62A	Taunus Strasse 52-60		Frankfurt		60329
61Z	Rhein Main Airport	Hall B, Counter 349	Frankfurt		60549
61Y	Tegel Gebaude Z 1	Tegel Airport Office	Berlin		13405
61X	Frankfurt International Airport	AY Cargo office, Cargo City Sud	Frankfurt		60549
61W	Dusseldorf International Airport	Sales Office, Terminal A, 3rd Floor, Room 3037	Dusseldorf		40474
61V	6 Rue du Pavé	Finnair Cargo, Charles de Gaulle Airport	Roissy		95702
61U	15/17 Rue des Mathurin		Paris		75009
61T	Roissy Charles de Gaulle Airport	FinnAir Ticketing Office, Terminal 2D, Local: 4L 311, Bp 300017	Roissy		95702
61S	Aerogade 2 b	American Airlines Office, Local: 4G 205	Roissy		95702
61Q	Tallinn Airport, Tallinn Ulemiste	Lennujaama TEE2,Exchange Room	Tallinn		10119
61P	Roosikrantsi 2	Finnair	Tallinn		10119
61O	Nyropsgade 47, 6th floor		Copenhagen		1602
61N	Copenhagen Airport, Kastrup	Finnair Traffic Office	Copenhagen		2770
61M	Spanelska 2		Prague		12000
61L	233 Tianhe Bei Rd	Citic Plaza, 33rd floor unti 3308 and 3309A, Tienhe District	Guangzhou		510613
61K	1168 Nanjing Xi Lu	Citic Square Room 2406,24th floor	Shanghai		200041
61J	22 Jian Guo Men Wai Dajie	Finnair Town Office, Scite Tower	Beijing		100004
61I	Beijing Capital Airport	FinnAir Airport Office, Terminal 2, 3rd Floor, Room 32 / 21	Beijing		100621
61H	Rue de Finistere 4		Brussels		1000
61G	Brussels National Airport	Finnair Traffic Office	Zaventem		1930
61F	Opernring 1 E		Wien		1010
61E	64 York St	Finnair GSA Office	Sydney	NSW	2000
61D	7420 Carroll Rd		San Diego	CA	92121-2334
61C	100 Asbury Dr		Buffalo Grove	IL	60089
61B	Pz. Cataluña s/n		Sevilla		41015
61A	811 S 16th St		Phoenix	AZ	85034-4129
60Z	Turnapin Lane	Woodford Business Park, Santry	Dublin		9
60Y	NPI Spectrum House, Chapman Way		Tunbridge Wells		TN2 3EF
60X	Pegasus Place, Lodge Rd	Weavering	Maidstone		ME14 5EH
60W	Shepcote Ln		Sheffield		S9 1TS
618	91-93 ST VINCENT STREET		PORTOFSPAIN		
5P8	1-1 SUWASAKAECHO		YOKKAICHI		510
60V	PO Box 23, Strangeways		Manchester		M60 3WB
617	VAN'T HOGERHUYSSTRAAT 9-11		PARAMARIBO		
60U	Eastern Ave		Gloucester		GL4 6SW
616	52-56 KNUTSFORD BLVD		KINGSTON		
60T	Eastern Ave		Dunstable		LU5 4JY
615	RIGELWEG 2		WILLEMSTAD		
60S	Glen Rd	Bass Ireland Ltd	Belfast		BT11 8BY
614	ANASASTRAAT 8		ORANJESTAD		
60R	FEHÉRVÁRI ÚT 85		BUDAPEST		1117
613	COLLYMORE ROCK		STMICHAEL		
60Q	RÁKÓCZI ÚT 81		BÖCS		3574
612	SECOND TERRACE & COLLINS AVENUE		NASSAU		
60P	ILICA 224		ZAGREB		10000
60O	MLADOST IV, BUIDING 3, FL1	Business Park Sofia	SOFIA		1000
60N	95, KAPITAN RAITCHO STR.		PLOVDIV		4000
60M	5, VIT STR.		PLEVEN		5800
60L	SEVERNA INDUSTRIALNA ZONA		HASKOVO		6300
60K	395 Rue Labbe		Victoriaville	QC	G6P 1B1
60J	695 Rue Gaudette		Saint-Jean-sur-Richelieu	QC	J3B 7S7
60I	6600 Rue Choquette		Saint-Hyacinthe	QC	J2S 8L1
60H	3250 Blvd Industriel		Sherbrooke	QC	J1L 1V8
60G	375 Rue Lachance		Quebec City	QC	G1P 2H3
60F	1675 Rue Atmec		Gatineau	QC	J8P 7G7
60E	Route du Mans		Charentilly		37390
60D	Alle Maillaud de Ker Harnos 13		Locmine		56500
60C	Le Moulin Avent		Boulleville		27210
60B	Rue du Moulin Bateau 121		Bonneuil-sur-Marne		94387
IGY	1144 E Market St	GOODYEAR TIRE & RUBBER COMPANY	Akron	OH	44305
5N4	1-2658-2 JOUNAN		SUWA		392
IEH	OLDBROOK HOUSE	PEMBROKE ROAD	DUBLIN		4
IEC	BALLYCOOLIN INDUSTRIAL ESTATE	BLANCHARDSTOWN	BALLYCOOLIN		15
IEB	UNIT 31  AIRTON RD	TALLAGHT	DUBLIN		20
IEA	TECHNOLOGY CAMPUS	DAMASTOWN INDUSTRIAL ESTATE	MULHUDDART		15
IDE	550 15th St	PUBLIC SERVICE CO OF COLORADO	Denver	CO	80202-4256
IDC	10 G St NE	AMTRAK	Washington	DC	20002-4213
ICT	18880 HOMESTEAD RD		CUPERTINO	CA	95014-0721
ICN	2 Procter And Gamble Plz	IBM c/o Proctor & Gamble	Cincinnati	OH	45202-3315
ICL	5525 Parkcenter Cir	NATIONWIDE INSURANCE	Dublin	OH	43017-3584
ICF	4400 BOHANNON DR		MENLO PARK	CA	94025-1038
IBT	5301 Maryland Way	COMDATA	Brentwood	TN	37027-5028
IBK	RENNWEG 7		INNSBRUCK		6020
IAG	512 Liberty Expy SE	PROCTOR & GAMBLE	Albany	GA	31705-5958
IAD	2390 E Orangewood Ave	COLONIAL INSURANCE	Anaheim	CA	92806-6141
5BP	Calle 93 B #17-25/49	5th floor, BPO Bldg.	Bogotá		
5BJ	2700 Blvd. Laurier	Tour Champlain Bureau 4000	Saint Foy	QC	G1V 4K5
5BG	12800 RUE DE L'AVENIR	BELL HELICOPTER	MIRABEL	QC	J7J1R4
